id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,zubr_id,observers,wrong-voters-number,major-violations,minor-violations
05-141-0081,Astrašycki Haradok,village,54.066158,27.698114,5,,326,196,1396.0,2018.0,2,215.0,1,1,20.0,1,0,,0,4,28.0,2,0,,0,1,21.0,1,2,432.0,0,316,680.0,191,4653,7,False,False,False
05-141-0083,Околица,village,54.042786,27.785465,5,,70,36,814.0,1011.0,0,31.0,0,1,6.0,0,0,,0,1,6.0,0,0,,0,0,4.0,0,0,606.0,0,68,161.0,36,4655,3,False,False,False
05-141-0091,Samokhvalovichi,minsk_suburb,53.739385,27.501895,5,,231,145,1094.0,1552.0,1,39.0,0,0,13.0,0,0,5.0,0,1,27.0,1,0,,0,0,14.0,0,1,578.0,0,228,418.0,144,4663,5,False,False,False
05-141-0092,Sienica,minsk_suburb,53.822665,27.517239,5,,636,382,1900.0,2564.0,18,70.0,8,0,28.0,0,0,53.0,0,7,64.0,2,0,,0,4,44.0,2,3,511.0,1,604,1128.0,369,4664,3,False,False,False
05-141-0093,Sienica,minsk_suburb,53.822665,27.517239,5,,570,374,2016.0,2730.0,13,14.0,1,3,20.0,2,0,,0,3,25.0,2,1,,0,1,10.0,0,1,1031.0,0,548,916.0,369,4665,5,False,False,False
05-141-0096,Атолино,minsk_suburb,53.782485,27.436938,5,,319,204,1352.0,1650.0,4,71.0,2,0,12.0,0,0,7.0,0,5,25.0,2,1,,0,0,16.0,0,2,530.0,0,307,691.0,200,4668,4,True,False,True
05-141-0098,Pryluki,minsk_suburb,53.790593,27.450808,5,,525,325,1837.0,2327.0,13,123.0,4,2,27.0,0,0,14.0,0,8,42.0,7,3,,1,0,26.0,0,3,553.0,1,496,1052.0,312,4670,8,True,False,True
05-141-0100,Chaciežyna,minsk_suburb,53.912744,27.307734,5,,531,334,1576.0,1735.0,7,24.0,2,0,7.0,0,0,,0,0,6.0,0,1,,0,1,12.0,1,1,883.0,0,521,644.0,331,4672,5,False,False,False
05-141-0101,Старое Село,minsk_suburb,53.882582,27.259494,5,,173,109,856.0,974.0,5,12.0,2,0,1.0,0,1,,0,1,14.0,1,0,,0,0,10.0,0,1,446.0,0,165,373.0,106,4673,3,False,False,False
05-141-0102,Шершуны,village,54.179677,27.360222,5,,82,41,622.0,792.0,1,32.0,0,0,3.0,0,0,,0,0,16.0,0,0,,0,0,6.0,0,2,437.0,0,79,128.0,41,4674,1,False,False,False
05-141-0103,Новый Двор,village,54.124853,27.359189,5,,73,52,519.0,700.0,0,15.0,0,0,4.0,0,0,,0,0,6.0,0,0,,0,0,4.0,0,2,254.0,0,71,236.0,52,4675,1,False,False,False
05-141-0104,Ščomyslica,minsk_suburb,53.823697,27.448958,5,,338,226,1107.0,1556.0,3,69.0,2,1,5.0,0,2,,1,0,22.0,0,0,,0,2,10.0,1,1,335.0,0,329,666.0,222,4676,6,False,False,False
