id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,voters,votes,turnout,against,cherechen,corrupted,dmitriyev,kanopatskaja,tihanovkaja,lukashenko
03-096-0039,Mazyr,town_over100,52.08941,29.223921,3,,150,82,1291,2083,2,68,2,0,19,0,0,,0,0,18,0,0,,0,0,12,0,1,514,0,147,660,80,2083,1291,0.619779,56.304,19,11.696,18,12,660,514
03-096-0040,Mazyr,town_over100,52.023722,29.209198,3,,237,130,,,4,,1,0,,0,1,,1,1,,0,0,,0,0,,0,2,,0,229,,128,1367.42,1061.39,0.7762,80.8933,24.6485,16.708,25.9719,17.2043,597.003,298.963
03-096-0041,Mazyr,town_over100,52.026931,29.228269,3,,217,120,1605,1642,8,23,2,1,18,0,0,7,0,0,29,0,0,,0,1,39,1,0,955,0,207,534,117,1642,1274.52,0.7762,77.4772,23.6076,16.0024,24.8751,16.4778,539.649,576.431
03-096-0042,Mazyr,town_over100,52.027618,29.22119,3,,344,161,,,7,,2,1,,0,1,,1,0,,0,0,,0,0,,0,3,,0,332,,158,1500.76,1164.89,0.7762,117.91,35.9275,24.3535,37.8565,25.0769,865.524,58.2446
03-096-0043,Mazyr,town_over100,52.026997,29.208317,3,,430,252,2808,2956,7,52,1,0,28,0,1,5,0,1,11,0,0,,0,0,39,0,3,2199,1,418,474,250,2956,2294.45,0.7762,143.563,43.744,29.652,46.0927,30.5327,1089.73,911.14
03-096-0044,Mazyr,town_over100,52.026997,29.208317,3,,540,330,2846,2995,6,32,1,2,9,1,1,3,0,6,8,2,1,,0,1,10,0,5,2533,0,518,251,326,2995,2324.72,0.7762,189.123,57.6263,39.0622,60.7204,40.2224,1350.43,587.54
03-096-0045,Mazyr,town_over100,52.029995,29.204922,3,,495,280,2842,2994,7,73,4,3,21,1,2,8,1,4,37,1,0,,0,0,9,0,8,1568,3,471,1126,270,2994,2323.94,0.7762,178.249,54.3132,36.8163,57.2293,37.9099,1227.9,731.525
03-096-0046,Mazyr,town_over100,52.035419,29.202891,3,,283,161,,,9,,3,0,,0,0,,0,1,,0,0,,0,1,,0,3,,0,269,,158,1383.61,1073.96,0.7762,102.264,31.1601,21.1219,32.8331,21.7493,701.283,163.549
03-096-0047,Mazyr,town_over100,52.039092,29.199954,3,,394,222,,,12,,2,1,,1,1,,1,2,,0,0,,0,1,,1,7,,1,370,,216,1718.9,1334.21,0.7762,148.122,45.1333,30.5937,47.5566,31.5024,964.59,66.7104
03-096-0048,Mazyr,town_over100,52.03563,29.196585,3,,2,0,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,1,,0,1367.42,1061.39,0.7762,1.8714,0.570223,0.386527,0.600839,0.398008,2.607,1054.96
