id,town,area,latitude,longitude,region
06-136-0008,Телеши,village,53.623001,31.076957,6
06-136-0009,Лопатичи,village,53.565509,30.879426,6
06-136-0010,Лесная,village,53.53912,30.912987,6
06-136-0011,Свенск,village,53.340049,30.807516,6
06-136-0012,Ректа,village,53.294707,30.710965,6
06-136-0013,Большая Зимница,village,53.32539,30.616983,6
06-136-0014,Поповка,village,53.400469,30.923372,6
06-136-0015,Ржавка 1,village,53.396431,30.797536,6
06-136-0016,Красный Восход,village,53.451516,30.886199,6
06-137-0001,Khotsimsk,town_below100,53.410566,32.583881,6
06-137-0002,Khotsimsk,town_below100,53.408838,32.599709,6
06-137-0003,Khotsimsk,town_below100,53.406175,32.577646,6
06-137-0004,Khotsimsk,town_below100,53.416024,32.582219,6
06-137-0005,Khotsimsk,town_below100,53.411747,32.573623,6
06-137-0006,Ветка,village,53.234605,32.412464,6
06-137-0007,Biasiedavichy,village,53.375846,32.577018,6
06-137-0008,Byarozki,village,53.342414,32.343653,6
06-137-0009,Bakhany,village,53.368813,32.444785,6
06-137-0010,Yel’nya,village,53.441305,32.321896,6
06-137-0011,Lipawka,village,53.421675,32.707947,6
06-137-0012,Trastsino,village,53.483045,32.490878,6
06-137-0013,Zabyalyshyn,village,53.504436,32.370261,6
06-138-0001,Chavusy,town_below100,53.808902,30.97463,6
06-138-0002,Chavusy,town_below100,53.806239,30.977495,6
06-138-0003,Chavusy,town_below100,53.801134,30.964901,6
06-138-0004,Chavusy,town_below100,53.803958,30.954498,6
06-138-0005,Chavusy,town_below100,53.805967,30.963212,6
06-138-0006,Chavusy,town_below100,53.811183,30.960014,6
06-138-0007,Chavusy,town_below100,53.791492,30.938463,6
06-138-0008,Chavusy,town_below100,53.783746,30.985499,6
06-138-0009,Chavusy,town_below100,53.811885,30.973309,6
06-138-0010,Антоновка,village,53.746218,30.893134,6
06-138-0011,Дужевка,village,53.653367,30.929229,6
06-138-0012,Войнилы,village,53.79789,30.74334,6
06-138-0013,Устье,village,53.718376,30.808666,6
06-138-0014,Волковичский сельский Совет,village,53.67962,30.676784,6
06-138-0015,Бесчинье,village,53.710393,30.613992,6
06-138-0016,Горбовичи,village,53.82038,30.697706,6
06-138-0017,Лёвковщина,village,53.876308,30.638884,6
06-138-0018,Благовичи,village,53.836807,30.851812,6
06-138-0019,Каменка,village,53.877704,30.909484,6
06-138-0020,Сластёны,village,53.976905,30.798272,6
06-138-0021,Осиновка,village,53.850603,31.216223,6
06-138-0022,Радомля,village,53.958981,31.034817,6
06-138-0023,Путьки,village,53.838905,31.072294,6
06-139-0001,Cherykaw,town_below100,53.566022,31.38525,6
06-139-0002,Cherykaw,town_below100,53.574273,31.392598,6
06-139-0003,Cherykaw,town_below100,53.573787,31.369879,6
06-139-0004,Cherykaw,town_below100,53.57022,31.376296,6
06-139-0005,Cherykaw,town_below100,53.575139,31.391125,6
06-139-0006,Майский,village,53.56445,31.646246,6
06-139-0007,Веремейки,village,53.757143,31.282561,6
06-139-0008,Cherykaw,town_below100,53.667357,31.377874,6
06-139-0009,Езёры,village,53.563733,31.250907,6
06-139-0010,Соколовка,village,53.534876,31.219762,6
06-139-0011,Речица,village,53.625597,31.531307,6
06-139-0012,Зори,village,53.611117,31.467239,6
06-139-0013,Горки,village,53.537375,31.343316,6
06-139-0014,Лобановка,village,53.661102,31.263496,6
06-139-0015,Гронов,village,53.570086,31.459244,6
06-140-0001,Shklov,town_below100,54.199912,30.300318,6
06-140-0002,Shklov,town_below100,54.205163,30.294767,6
06-140-0003,Shklov,town_below100,54.208248,30.291335,6
06-140-0004,Shklov,town_below100,54.217326,30.286152,6
06-140-0005,Shklov,town_below100,54.222774,30.281094,6
06-140-0006,Shklov,town_below100,54.230643,30.275246,6
06-140-0007,Shklov,town_below100,54.192854,30.319749,6
06-140-0008,Shklov,town_below100,54.189277,30.311044,6
06-140-0009,Shklov,town_below100,54.185357,30.286969,6
06-140-0010,Александрия,village,54.331541,30.282595,6
06-140-0011,Большой Межник,village,54.320016,30.248656,6
06-140-0012,Слободка,village,54.271185,30.244623,6
06-140-0013,Староселье,village,54.233406,30.390347,6
06-140-0014,Большое Уланово,village,54.246297,30.160073,6
06-140-0015,Городец,village,54.213377,30.414368,6
06-140-0016,Городище,village,54.186864,30.610093,6
06-140-0017,Окунёвка,village,54.209007,30.552655,6
06-140-0018,Ордать,village,54.155451,30.685525,6
06-140-0019,Каменные Лавы,village,54.091751,30.293275,6
06-140-0020,Добрейка,village,54.101857,30.360856,6
06-140-0021,Большая Комаровка,village,54.134186,30.289988,6
06-140-0022,Малые Словени,village,54.270938,30.426343,6
06-140-0023,Любиничи,village,54.234364,30.464234,6
06-140-0024,Кучарино,village,54.241483,30.331732,6
06-140-0025,Малый Старый Шклов,village,54.211223,30.241263,6
06-140-0026,Большое Чёрное,village,54.173764,30.133618,6
06-140-0027,Черноручье,village,54.16571,30.034246,6
06-140-0028,Говяды,village,54.11071,30.10754,6
06-140-0029,Фащевка,village,54.146534,30.497436,6
06-140-0030,Евдокимовичи,village,54.038683,30.478077,6
06-140-0031,Shklov,town_below100,54.208585,30.291164,6
06-146-0001,Вейно,city,53.829383,30.386592,6
06-146-0002,Восход,village,53.777851,30.348764,6
06-146-0003,Вендорожский сельский Совет,village,53.836498,30.022029,6
06-146-0004,Михалёво,village,53.872751,30.053201,6
06-146-0005,Гуслище,village,53.810668,30.135001,6
06-146-0006,Дашковка,village,53.733862,30.272848,6
06-146-0007,Дашковский сельский Совет,village,53.783709,30.189601,6
06-146-0008,Дашковский сельский Совет,village,53.811114,30.223099,6
06-146-0009,Заводская Слобода,village,53.780272,30.00568,6
06-146-0010,Репище,village,53.711107,30.054584,6
06-146-0011,Кадино,village,53.875358,30.508763,6
06-146-0012,Романовичи,village,53.864012,30.557587,6
06-146-0013,Любуж,city,53.894469,30.45906,6
06-146-0014,Брыли,village,53.913693,30.55959,6
06-146-0015,Браково,village,54.00086,30.14005,6
06-146-0016,Княжицы,village,53.972912,30.145215,6
