id,zubr_id,observers,accreditation-reject,let-observer-in-violation,no-let-observer-in,observer-pushed-away,force-beforehand-voting,late-report,home-voting-violation,wrong-voters-number,no-medcine-on-poll-station,non-transparent-counting,observer-limitations,other
07-005-0001,487,4,False,False,False,False,False,False,False,False,False,False,False,False
07-005-0002,488,2,False,False,False,False,False,False,False,False,False,False,False,False
07-005-0003,489,1,False,False,False,False,False,False,False,False,False,False,False,False
07-005-0004,490,5,False,False,True,False,False,False,False,False,False,False,True,True
07-005-0005,491,3,False,False,True,False,False,False,False,True,False,False,False,True
07-005-0006,492,12,False,False,True,False,False,False,False,True,False,False,False,False
07-005-0007,493,3,False,False,False,False,False,False,False,True,False,False,False,False
07-005-0008,494,4,False,False,False,False,False,True,False,False,False,False,True,False
07-005-0009,495,6,False,False,False,False,False,True,False,False,False,False,False,True
07-005-0010,496,7,False,False,True,False,False,True,False,False,False,False,False,False
07-005-0011,497,6,False,False,True,False,False,False,False,False,False,False,False,False
07-005-0012,498,5,False,False,True,True,False,True,False,False,False,True,True,True
07-005-0013,499,4,False,False,True,False,False,False,False,True,False,False,False,False
07-005-0014,500,8,False,False,False,False,False,False,False,True,False,False,False,False
07-005-0015,501,7,False,False,True,False,False,False,False,False,False,False,False,False
07-005-0016,502,2,False,False,False,False,True,False,False,False,False,False,True,True
07-005-0017,503,1,False,False,False,False,False,False,False,False,False,False,False,False
07-005-0018,504,5,False,False,True,False,False,False,False,False,False,False,True,False
07-005-0019,505,10,False,False,True,True,False,True,True,False,False,True,True,True
07-005-0020,506,9,False,False,True,True,False,False,False,False,False,False,True,True
07-005-0021,507,6,False,False,False,False,False,False,False,False,False,False,False,False
07-005-0022,508,8,False,False,True,True,False,False,False,True,False,False,True,False
07-005-0023,509,11,False,False,True,False,False,True,False,True,True,True,True,True
07-005-0024,510,9,False,False,True,True,False,True,False,True,False,True,True,True
07-005-0025,511,8,True,False,True,False,False,True,False,True,True,False,True,False
07-005-0026,512,4,False,False,False,False,False,False,False,False,False,False,False,False
07-005-0027,513,4,False,False,True,False,False,False,False,True,False,False,True,False
07-005-0028,514,4,False,True,True,True,False,True,False,True,True,True,True,False
07-005-0029,515,3,False,False,False,False,False,False,False,False,False,False,False,False
07-005-0030,516,3,False,False,True,False,False,True,True,True,False,True,True,True
07-005-0031,517,2,False,False,True,False,False,True,False,False,True,True,True,True
07-005-0032,518,6,False,False,False,False,False,False,False,False,True,False,False,False
07-005-0033,519,4,False,False,False,False,False,True,False,True,False,False,False,True
07-005-0034,520,3,False,False,True,False,False,False,False,True,False,False,True,True
07-005-0035,521,3,False,False,False,False,False,False,False,False,False,False,True,False
07-005-0036,522,5,False,False,True,False,False,True,False,False,False,False,False,True
07-005-0037,523,7,False,False,False,False,False,False,False,False,False,False,False,True
07-006-0001,524,4,False,False,True,False,False,False,False,False,False,False,False,False
07-006-0002,525,4,False,False,True,False,False,False,False,True,True,False,False,False
07-006-0003,526,1,False,False,False,False,False,False,False,False,False,False,False,False
07-006-0004,527,1,False,False,True,False,False,False,False,False,False,False,False,False
07-006-0005,528,4,True,False,True,True,False,False,False,False,False,False,False,False
07-006-0006,529,6,False,False,True,False,False,False,True,False,False,False,False,True
07-006-0007,530,13,False,False,True,False,False,False,False,True,True,False,True,True
07-006-0008,531,13,False,False,True,False,False,False,False,False,True,False,True,True
07-006-0009,532,5,False,False,False,False,False,False,False,False,False,False,False,False
07-006-0010,533,10,False,False,False,False,False,False,False,True,False,False,False,False
07-006-0011,534,7,False,False,True,False,False,True,False,True,False,False,True,True
07-006-0012,535,9,False,False,True,False,False,False,False,True,True,False,True,False
07-006-0013,536,6,False,False,True,False,False,False,False,True,False,False,True,True
07-006-0014,537,11,False,False,True,False,False,True,False,True,False,False,True,False
07-006-0015,538,5,False,True,True,True,False,False,False,True,False,True,True,True
